Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,-1,-1.0,240.0,4450.0
Left,2,-1,-1.0,260.0,4660.0
Left,2,-1,-1.0,280.0,4870.0
Left,2,-1,-1.0,300.0,5060.0
Left,2,-1,-1.0,320.0,5250.0
Left,2,-1,-1.0,340.0,5420.0
Left,2,-1,-1.0,348.0,7110.0
Left,2,-1,-0.5,0.0,2320.0
Left,2,-1,-0.5,20.0,2470.0
Left,2,-1,-0.5,40.0,2630.0
Left,2,-1,-0.5,60.0,2800.0
Left,2,-1,-0.5,80.0,2970.0
Left,2,-1,-0.5,100.0,3150.0
Left,2,-1,-0.5,120.0,3330.0
Left,2,-1,-0.5,140.0,3510.0
Left,2,-1,-0.5,160.0,3710.0
Left,2,-1,-0.5,180.0,3900.0
Left,2,-1,-0.5,200.0,4100.0
Left,2,-1,-0.5,220.0,4300.0
Left,2,-1,-0.5,240.0,4500.0
Left,2,-1,-0.5,260.0,4690.0
Left,2,-1,-0.5,280.0,4870.0
Left,2,-1,-0.5,300.0,5050.0
Left,2,-1,-0.5,320.0,5210.0
Left,2,-1,-0.5,340.0,5360.0
Left,2,-1,-0.5,348.0,7110.0
Left,2,-1,0.0,0.0,2420.0
Left,2,-1,0.0,20.0,2580.0
Left,2,-1,0.0,40.0,2740.0
Left,2,-1,0.0,60.0,2900.0
Left,2,-1,0.0,80.0,3070.0
Left,2,-1,0.0,100.0,3250.0
Left,2,-1,0.0,120.0,3430.0
Left,2,-1,0.0,140.0,3610.0
Left,2,-1,0.0,160.0,3800.0
Left,2,-1,0.0,180.0,3990.0
Left,2,-1,0.0,200.0,4170.0
Left,2,-1,0.0,220.0,4360.0
Left,2,-1,0.0,240.0,4540.0
Left,2,-1,0.0,260.0,4710.0
Left,2,-1,0.0,280.0,4870.0
Left,2,-1,0.0,300.0,5020.0
Left,2,-1,0.0,320.0,5170.0
Left,2,-1,0.0,340.0,5300.0
Left,2,-1,0.0,348.0,7110.0
Left,2,-1,0.5,0.0,2530.0
Left,2,-1,0.5,20.0,2680.0
Left,2,-1,0.5,40.0,2840.0
Left,2,-1,0.5,60.0,3010.0
Left,2,-1,0.5,80.0,3170.0
Left,2,-1,0.5,100.0,3350.0
Left,2,-1,0.5,120.0,3520.0
Left,2,-1,0.5,140.0,3700.0
Left,2,-1,0.5,160.0,3880.0
Left,2,-1,0.5,180.0,4060.0
Left,2,-1,0.5,200.0,4240.0
Left,2,-1,0.5,220.0,4410.0
Left,2,-1,0.5,240.0,4570.0
Left,2,-1,0.5,260.0,4720.0
Left,2,-1,0.5,280.0,4870.0
Left,2,-1,0.5,300.0,5000.0
Left,2,-1,0.5,320.0,5130.0
Left,2,-1,0.5,340.0,5260.0
Left,2,-1,0.5,348.0,7110.0
Left,2,-1,1.0,0.0,2640.0
Left,2,-1,1.0,20.0,2790.0
Left,2,-1,1.0,40.0,2950.0
Left,2,-1,1.0,60.0,3110.0
Left,2,-1,1.0,80.0,3280.0
Left,2,-1,1.0,100.0,3450.0
Left,2,-1,1.0,120.0,3620.0
Left,2,-1,1.0,140.0,3790.0
Left,2,-1,1.0,160.0,3960.0
Left,2,-1,1.0,180.0,4130.0
